Bohemian Rhapsody by Queen (1975), Count: 41
Viva la Vida by Coldplay (2008), Count: 21
Hey Jude by The Beatles (1968), Count: 17
Imagine by John Lennon (1971), Count: 17
Hotel California by Eagles (1976), Count: 17
Blinding Lights by The Weeknd (2019), Count: 16
Dancing Queen by ABBA (1976), Count: 13
Take On Me by a-ha (1985), Count: 13
Smells Like Teen Spirit by Nirvana (1991), Count: 13
Yesterday by The Beatles (1965), Count: 12
Respect by Aretha Franklin (1967), Count: 12
Superstition by Stevie Wonder (1972), Count: 12
Billie Jean by Michael Jackson (1982), Count: 12
Billie Jean by Michael Jackson (1983), Count: 12
Never Gonna Give You Up by Rick Astley (1987), Count: 12
Counting Stars by OneRepublic (2013), Count: 12
What a Wonderful World by Louis Armstrong (1967), Count: 11
Piano Man by Billy Joel (1973), Count: 11
Shape of You by Ed Sheeran (2017), Count: 11
Stayin' Alive by Bee Gees (1977), Count: 10
Sweet Child O' Mine by Guns N' Roses (1987), Count: 10
Lose Yourself by Eminem (2002), Count: 10
Stand by Me by Ben E. King (1961), Count: 9
Fly Me To The Moon by Frank Sinatra (1964), Count: 9
My Way by Frank Sinatra (1969), Count: 9
Stairway to Heaven by Led Zeppelin (1971), Count: 9
Every Breath You Take by The Police (1983), Count: 9
Livin' On a Prayer by Bon Jovi (1986), Count: 9
I Want It That Way by Backstreet Boys (1999), Count: 9
Numb by Linkin Park (2003), Count: 9
Mr. Brightside by The Killers (2003), Count: 9
Rolling in the Deep by Adele (2010), Count: 9
Uptown Funk by Mark Ronson ft. Bruno Mars (2014), Count: 9
Space Song by Beach House (2015), Count: 9
My Girl by The Temptations (1964), Count: 8
Let It Be by The Beatles (1970), Count: 8
Rocket Man by Elton John (1972), Count: 8
Beat It by Michael Jackson (1982), Count: 8
Thriller by Michael Jackson (1982), Count: 8
Wonderwall by Oasis (1995), Count: 8
Take Me Out by Franz Ferdinand (2004), Count: 8
Midnight City by M83 (2011), Count: 8
Bad Guy by Billie Eilish (2019), Count: 8
Like a Rolling Stone by Bob Dylan (1965), Count: 7
Ain't No Mountain High Enough by Marvin Gaye & Tammi Terrell (1967), Count: 7
What's Going On by Marvin Gaye (1971), Count: 7
Born to Run by Bruce Springsteen (1975), Count: 7
Eye of the Tiger by Survivor (1982), Count: 7
Africa by Toto (1982), Count: 7
Windowlicker by Aphex Twin (1999), Count: 7
Seven Nation Army by The White Stripes (2003), Count: 7
Somebody That I Used To Know by Gotye ft. Kimbra (2011), Count: 7
Radioactive by Imagine Dragons (2012), Count: 7
Night Changes by One Direction (2014), Count: 7
Levitating by Dua Lipa (2020), Count: 7
Johnny B. Goode by Chuck Berry (1958), Count: 6
Space Oddity by David Bowie (1969), Count: 6
Sweet Caroline by Neil Diamond (1969), Count: 6
Bridge over Troubled Water by Simon & Garfunkel (1970), Count: 6
Roundabout by Yes (1971), Count: 6
Starman by David Bowie (1972), Count: 6
Dream On by Aerosmith (1973), Count: 6
Dreams by Fleetwood Mac (1977), Count: 6
September by Earth, Wind & Fire (1978), Count: 6
Don't Stop Believin' by Journey (1981), Count: 6
Purple Rain by Prince (1984), Count: 6
Smooth Criminal by Michael Jackson (1987), Count: 6
I Will Always Love You by Whitney Houston (1992), Count: 6
Hey Ya! by OutKast (2003), Count: 6
Feel Good Inc. by Gorillaz (2005), Count: 6
Just the Way You Are by Bruno Mars (2010), Count: 6
Someone Like You by Adele (2011), Count: 6
What Makes You Beautiful by One Direction (2011), Count: 6
Breezeblocks by alt-J (2012), Count: 6
Oblivion by Grimes (2012), Count: 6
Gangnam Style by PSY (2012), Count: 6
The Less I Know The Better by Tame Impala (2015), Count: 6
Perfect by Ed Sheeran (2017), Count: 6
Believer by Imagine Dragons (2017), Count: 6
God's Plan by Drake (2018), Count: 6
As It Was by Harry Styles (2022), Count: 6
Jailhouse Rock by Elvis Presley (1957), Count: 5
I Want To Hold Your Hand by The Beatles (1963), Count: 5
Good Vibrations by The Beach Boys (1966), Count: 5
I Heard It Through the Grapevine by Marvin Gaye (1968), Count: 5
Come Together by The Beatles (1969), Count: 5
Here Comes The Sun by The Beatles (1969), Count: 5
American Pie by Don McLean (1971), Count: 5
Free Bird by Lynyrd Skynyrd (1973), Count: 5
Hotel California by Eagles (1977), Count: 5
Don't Stop Me Now by Queen (1979), Count: 5
Uptown Girl by Billy Joel (1983), Count: 5
Careless Whisper by George Michael (1984), Count: 5
Everybody wants to rule the world by Tears for Fears (1985), Count: 5
Creep by Radiohead (1992), Count: 5
...Baby One More Time  by Britney Spears (1998), Count: 5
All Star by Smash Mouth (1999), Count: 5
Yellow by Coldplay (2000), Count: 5
Bye Bye Bye by NSYNC (2000), Count: 5
Frontier Psychiatrist by The Avalanches (2000), Count: 5
Fix You by Coldplay (2005), Count: 5
Back to Black by Amy Winehouse (2006), Count: 5
505 by Arctic Monkeys (2007), Count: 5
Payphone by Maroon 5 (2012), Count: 5
Royals by Lorde (2013), Count: 5
No Role Modelz by J. Cole (2014), Count: 5
Circles by Post Malone (2019), Count: 5
Drivers License by Olivia Rodrigo (2021), Count: 5
Kill Bill by SZA (2022), Count: 5
Put Your Head On My Shoulder by Paul Anka (1959), Count: 4
Take Five by The Dave Brubeck Quartet (1959), Count: 4
Can't Help Falling in Love by Elvis Presley (1961), Count: 4
Ring of Fire by Johnny Cash (1963), Count: 4
Paint It Black by The Rolling Stones (1966), Count: 4
Take Me Home, Country Roads by John Denver (1971), Count: 4
Goodbye Yellow Brick Road by Elton John (1973), Count: 4
Starless by King Crimson (1974), Count: 4
Sweet Home Alabama by Lynyrd Skynyrd (1974), Count: 4
Come and Get Your Love by Redbone (1974), Count: 4
Vienna by Billy Joel (1977), Count: 4
We Will Rock You by Queen (1977), Count: 4
I Will Survive by Gloria Gaynor (1978), Count: 4
Lay All Your Love On Me by ABBA (1980), Count: 4
Should I Stay or Should I Go by The Clash (1982), Count: 4
Girls Just Want To Have Fun by Cyndi Lauper (1983), Count: 4
Plastic Love by Mariya Takeuchi (1984), Count: 4
Welcome to the Jungle by Guns N' Roses (1987), Count: 4
Man in the Mirror by Michael Jackson (1988), Count: 4
Let Down by Radiohead (1997), Count: 4
Iris by Goo Goo Dolls (1998), Count: 4
Teardrop by Massive Attack (1998), Count: 4
No Scrubs by TLC (1999), Count: 4
The Real Slim Shady by Eminem (2000), Count: 4
Clint Eastwood by Gorillaz (2001), Count: 4
Complicated by Avril Lavigne (2002), Count: 4
Without Me by Eminem (2002), Count: 4
Boulevard of Broken Dreams by Green Day (2004), Count: 4
Mr. Brightside by The Killers (2004), Count: 4
Hide and Seek by Imogen Heap (2005), Count: 4
Stronger by Kanye West (2007), Count: 4
Dog Days Are Over by Florence + The Machine (2008), Count: 4
Heartless by Kanye West (2008), Count: 4
The Duck Song by Bryant Oden (2009), Count: 4
Fireflies by Owl City (2009), Count: 4
Judas by Lady Gaga (2011), Count: 4
Pompeii by Bastille (2013), Count: 4
Story of My Life by One Direction (2013), Count: 4
Riptide by Vance Joy (2013), Count: 4
A Sky Full of Stars by Coldplay (2014), Count: 4
Gooey by Glass Animals (2014), Count: 4
Maps by Maroon 5 (2014), Count: 4
Faded by Alan Walker (2015), Count: 4
24K Magic by Bruno Mars (2016), Count: 4
Die For You by The Weeknd (2016), Count: 4
Passionfruit by Drake (2017), Count: 4
The Way Life Goes by Lil Uzi Vert (2017), Count: 4
Lucid Dreams by Juice WRLD (2018), Count: 4
Happier by Marshmello ft. Bastille (2018), Count: 4
Sunflower by Post Malone (2018), Count: 4
Sicko Mode by Travis Scott (2018), Count: 4
I Love You 3000 by Stephanie Poetri (2019), Count: 4
After Hours by The Weeknd (2020), Count: 4
End of Beginning by Djo (2022), Count: 4
My Eyes by Travis Scott (2023), Count: 4
Feel It by D4vd (2024), Count: 4
Saturn by SZA (2024), Count: 4
Great Balls of Fire by Jerry Lee Lewis (1957), Count: 3
A Change Is Gonna Come by Sam Cooke (1964), Count: 3
House Of The Rising Sun by The Animals (1964), Count: 3
The Sound of Silence by Simon & Garfunkel (1965), Count: 3
In My Life by The Beatles (1965), Count: 3
My Girl by The Temptations (1965), Count: 3
Can't Take My Eyes off You by Frankie Valli (1967), Count: 3
Purple Haze by Jimi Hendrix (1967), Count: 3
Set the Controls for the Heart of the Sun by Pink Floyd (1968), Count: 3
Fortunate Son by Creedence Clearwater Revival (1969), Count: 3
Suspicious Minds by Elvis Presley (1969), Count: 3
Iron Man by Black Sabbath (1970), Count: 3
Paranoid by Black Sabbath (1970), Count: 3
War Pigs by Black Sabbath (1970), Count: 3
The Man Who Sold The World by David Bowie (1970), Count: 3
Black Dog by Led Zeppelin (1971), Count: 3
Starship Trooper by Yes (1971), Count: 3
Ventura Highway by America (1972), Count: 3
Smoke on the Water by Deep Purple (1972), Count: 3
Tudo O Que Você Podia Ser by Milton Nascimento (1972), Count: 3
Killer Queen by Queen (1974), Count: 3
Landslide by Fleetwood Mac (1975), Count: 3
Wish You Were Here by Pink Floyd (1975), Count: 3
Carry On Wayward Son by Kansas (1976), Count: 3
Cherry Bomb by The Runaways (1976), Count: 3
How Deep Is Your Love by Bee Gees (1977), Count: 3
Lumiar by Beto Guedes (1977), Count: 3
Heroes by David Bowie (1977), Count: 3
Mr. Blue Sky by Electric Light Orchestra (1977), Count: 3
Psycho Killer by Talking Heads (1977), Count: 3
I Was Made For Lovin' You by KISS (1979), Count: 3
Stay With Me by Miki Matsubara (1979), Count: 3
Comfortably Numb by Pink Floyd (1979), Count: 3
Message In A Bottle by The Police (1979), Count: 3
